Card Name,Card Link,Card ID,archive,Information through ATE,It can be taken to EREN,Danger type 3.,Danger type 2.,Hazard type,Hazard characterization,Keywords,2. FILTRATION,Information is ready,"Document, publication related to the case 2.",Information source name/affiliation,Primary source of information,"Document, publication related to the case",Action taken,Additional measures,2. FILTER Are risk management options known?,2. FILTER Severity,2. FILTER Measure,2. FILTER Proximity in time,2. FILTRATION Groundedness,Total score of SCREENING 2,1. FILTRATION,2. RESULT OF FILTERING,Result of FILTER 1,Pre-screening,It requires confidential case management,Event type,Regularity of revaluation,"Document, publication related to the case 3.",What driver affects it?,Driver effect,1. Justification of FILTERING,Date of event (appearance of risk).,Date of access to information,Description of action,What is the reason for the increased exposure/sensitivity?,Signal,Notifiable body,Rationale for pre-screening,DRIVERs 1,HAZARDcat 1,PRODUCT 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,SOME information,2. Justification of FILTERING,It must be indicated as a partner institution,Unnamed: 53
Are the agri-food sector's efforts to reduce cow gas emissions just hot air?,https://trello.com/c/68074caca7c4fc8917988bf5,68074caca7c4fc8917988bf5,0,,,,,Additive,"Food companies like Nestlé are using methane-reducing cow feed additives to meet climate goals, but consumer health concerns and questions about long-term effectiveness persist.",#gasemission#cows#additives#boaver,,,,EMM,From the media,,,,,,,,,,,,,,It doesn't require,Economic and health,,,,,,,2025-04-15T10:00:00.000Z,,,,,,8.6 Environmental pollution,1.2.8 Feed additives,,,,,7.6 Scepticism of consumers towards new food and food-related technologies,,,,
"Vegetarian diet: benefits for your health, but beware of deficiencies",https://trello.com/c/683561c91ce775803f17f2ab,683561c91ce775803f17f2ab,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-04-22T10:00:00.000Z,,,,,,,,,,,,,,,,
"'Xylella', the bacterium that kills olive trees, arrives in the Sierra de Gata",https://trello.com/c/68356a3e93f68bd81e202135,68356a3e93f68bd81e202135,0,,,,,Bacterium,"Trade of Infected Plants:  Nursery stock (e.g., coffee, polygala) imported from endemic regions (Americas, Asia).  EU Example: 2013 Puglia outbreak linked to Costa Rican ornamental plants.  Natural Spread:  Insect vectors transmit Xylella to wild/agricultural plants (up to 1.5 km/year).  Human Activities:  Pruning tools, agricultural machinery, and grafting spread the bacterium.",@Xylella fastidiosa@Plant-pathogenic bacteria@Olive trees @Almonds@Grapevines @Citrus crops,,,,EMM,From the media,,,,,3,2,4,4,13.0,,,,,,Economic,,,,,,,2025-04-22T10:00:00.000Z,,,,,,2.1 Globalization of trade in food and feed,1.3.2.2 Bacteria,2.1.11 Other plants,,,,,,,,
Foot-and-mouth disease,https://trello.com/c/68356acdc5b3b7a150db9c70,68356acdc5b3b7a150db9c70,0,,,,,Virus,"Romanian farmer federations demand a full ban on animal product imports from FMD-affected neighbors, citing biosecurity failures and economic risk, while authorities maintain partial restrictions and disinfection measures pending EU clearance.",#FMD #Biosecurity #Regulation #Economy #Litigation,,,Media appearance,EMM,From the media,Media appearance,,,,,,,,,,,,,It doesn't require,Economic and health,,Media appearance,,,,,2025-04-22T10:00:00.000Z,,,,,,7.5 Increasing concern about risks related to food safety and food chain inputs,1.3.2.1 Viruses,,,,,2.1 Globalisation of trade in food and feed,,,,
"Farmers need these sprays. ""It makes things worse""",https://trello.com/c/68356ba22c3ba87d1a6c13b1,68356ba22c3ba87d1a6c13b1,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-04-29T10:00:00.000Z,,,,,,,,,,,,,,,,
"Ministry: Ethanol is a carcinogen, attitude towards alcohol must be reassessed",https://trello.com/c/68356c22a8d9be759d14c4f6,68356c22a8d9be759d14c4f6,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-04-29T10:00:00.000Z,,,,,,,,,,,,,,,,
Pesticides related to Parkinson's disease,https://trello.com/c/66559a824ed34814474496c8,66559a824ed34814474496c8,0,,,,,Plant protection product residue,residue in products,#pesticide #parkinsons #applejuice,,,,EMM,From the media,Media appearance,,,,,,,,,Known hazard and increased exposure,,II. PHASE,It will move on to PHASE I,,,,,,,11 pont <,,2024-05-21T10:00:00.000Z,,,,,,,,,,,,,,,,
Streptococcus suis: A potentially underreported emerging zoonotic pathogen,https://trello.com/c/683ebeaa13f5c100f2c9ca17,683ebeaa13f5c100f2c9ca17,0,,Done (was already on EREN),,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Antiparasitic drug resistance,https://trello.com/c/6851377878b33ef0b661e745,6851377878b33ef0b661e745,0,,,Chemical hazard,A parasite,Biological hazard,"Antiparasitic drug resistance in soil-transmitted helminths is a rapidly intensifying global threat that undermines livestock health, reduces treatment efficacy, and increases zoonotic transmission risks, demanding urgent development of sustainable control measures.",#soil-transmittedhelminths#STHs#antiparasiticdrugresistance#ruminants#multidrugresistance#parasitemanagement#zoonotictrasmissionrisk,,,Lecture,EREN,From another foreign institution/organization,Publication,,,,,,,,,,,,,,Healthcare,,,,,,,2025-05-12T10:00:00.000Z,,,,,,"5.4 Increase in productivity from other primary production technologies (e.g. management practices, aquaculture)",1.3.3 Parasites,2.2 Food of animal origin,,,,8. Climate change,,,,
Emerging Risks in Bio-Based Food Packaging - It will be a trading card,https://trello.com/c/68513863abc4f2d60f8dc963,68513863abc4f2d60f8dc963,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Illicit use of Cafodos as a fish preservative,https://trello.com/c/68513932a4129553ece814e8,68513932a4129553ece814e8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Popillia japonica: the 2025 action plan to contain its spread is underway,https://trello.com/c/6863da415aae5bc073dbe695,6863da415aae5bc073dbe695,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-07-01T10:00:00.000Z,,,,,,,,,,,,,,,,
How will the EU prevent the import of foods treated with banned pesticides?,https://trello.com/c/6863dae3d626183fb42d0d42,6863dae3d626183fb42d0d42,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-07-02T10:00:00.000Z,,,,,,,,,,,,,,,,
New EC requirements might affect sprat production: Agriculture Minister,https://trello.com/c/6863db04e4f1912e4ba6ee93,6863db04e4f1912e4ba6ee93,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-07-02T10:00:00.000Z,,,,,,,,,,,,,,,,
Haribo recalls popular sweets after family falls ill from cannabis-laced candy,https://trello.com/c/6863db4ee042d9f8319057c9,6863db4ee042d9f8319057c9,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-07-02T10:00:00.000Z,,,,,,,,,,,,,,,,
Milk analogue made from fish (fish milk),https://trello.com/c/68765c1fb60553e6b45e8511,68765c1fb60553e6b45e8511,0,,Done (was already on EREN),,,,,,,,,EREN STADG-Er,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Baby herbal tea: Estragole as a problem,https://trello.com/c/68765cec7dd2be3a1047c15b,68765cec7dd2be3a1047c15b,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Werewolf Syndrome in dogs linked to Contaminated Chews from China,https://trello.com/c/68765d20c9148cbfa71d060c,68765d20c9148cbfa71d060c,0,,,,,Chemical hazard,"Acute health effects on dogs:  Panic attacks, unjustified aggression.  Muscle twitching, epileptic-like seizures.  In severe cases, fatal outcome.  Effects on other animals/humans:  No immediate danger, but the source of contamination poses an environmental risk.",@WerewolfSyndrome @ContaminatedChews @ChinaImports @FoodStandardsUK @PetFoodSafety @DogHealthAlert @ToxicTreats @EUFoodRegulations @VetWarning @SupplyChainRisk @FSA_Alert,,,,EREN,From another foreign institution/organization,,,,,3,2,3,3,11.0,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,2.1 Globalization of trade in food and feed,1.2 Chemical,1.2.2 Pet food,,,,,,,,
Ants smuggling,https://trello.com/c/68765d4e046dc02b71a8b63a,68765d4e046dc02b71a8b63a,0,,,,,Biological hazard,"Likelihood: High probability of establishment due to:  Thriving global black market (particularly via online platforms)  Small size and ease of transport enabling undetected smuggling  Growing popularity of ant-keeping as a hobby  Severity: Potentially severe consequences including:  Ecosystem disruption through invasive species competition  Agricultural damage (estimated € millions in potential crop losses)  Biodiversity reduction in affected regions  Possible introduction of novel pathogens  Vulnerabilities:  Current regulatory gaps in invertebrate trade controls  Limited public awareness of ecological risks  Inadequate border screening for small organisms  Risk Level: Moderate to high, with the potential for exponential increase if trade continues unchecked. The risk is particularly acute for tropical species being introduced to temperate climates where natural predators may be absent.",#AntSmuggling #InvasiveSpecies #WildlifeTrade #BiodiversityRisk,,,,EREN,From another foreign institution/organization,,,,,3,2,3,3,11.0,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,2. Global trade,1.3 Biological,3 Live animals,,,,,,,,
Cottony Scale Spreads in Europe,https://trello.com/c/68765d7a77917311a842d32d,68765d7a77917311a842d32d,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Scientists say Fukushima water discharge risk is ‘underestimated’,https://trello.com/c/68765db168fb43db1e873123,68765db168fb43db1e873123,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-05-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Mirror Bacteria: A Revolutionary Risk?,https://trello.com/c/68765e22c0dcb973427de0fc,68765e22c0dcb973427de0fc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and Beverage Air Filtration Guide by Camfil Canada Exposes Risks of Poor Indoor Air Quality,https://trello.com/c/68bfcb2abf82a538f487ceba,68bfcb2abf82a538f487ceba,0,,,Other danger,Mushroom,Bacterium,"Camfil Canada warns that inadequate air filtration in food processing endangers food safety and worker health, urging adoption of high-efficiency filters amid weak national air quality standards.",#AirQuality #Filtration #FoodSafety #Contamination #Regulation,,,Media appearance,EMM,From the media,Media appearance,,,,,,,,,,,,,It doesn't require,Healthcare,,Media appearance,,,,,2025-07-29T10:00:00.000Z,,,,,,7.5 Increasing concern about risks related to food safety and food chain inputs,1.3.2.2 Bacteria,,,1.3.2.3 Fungi,,,,,,
Fish Sludge as Feed in Circular Bioproduction,https://trello.com/c/68bfcbe4455186330e80c8be,68bfcbe4455186330e80c8be,0,,,Microbiological hazard,Chemical hazard,Pollutant of technological origin,The review finds fish sludge could support sustainable invertebrate feed production but remains banned in the EU due to chemical safety concerns and limited data.,#FishSludge #Invertebrates #Feed #Contaminants #Regulation,,,Media appearance,EMM,From the media,Media appearance,,,,,,,,,,,,,It doesn't require,Economic and health,,Media appearance,,,,,2025-08-05T10:00:00.000Z,,,,,,8.3 Changing agricultural productivity according to species and regions,1.2.8 Feed additives,,,1.2.1 Environmental contaminants,,7.5 Increasing concern about risks related to food safety and food chain inputs,,,,
Swiss study revealed significant pesticide exposure in children aged 6-13,https://trello.com/c/68bfccbceebb1812be8b3193,68bfccbceebb1812be8b3193,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-08-12T10:00:00.000Z,,,,,,,,,,,,,,,,
Lumpy Skin Disease spreading in France and Italy,https://trello.com/c/68bfcd1f33950857f48e3736,68bfcd1f33950857f48e3736,0,,,,,Virus,"Lumpy Skin Disease has re-emerged in Europe, spreading from Italy to France and threatening cattle herds and farm economies despite strict EU surveillance and vaccination bans.",#LumpySkinDisease #Cattle #Outbreak #Biosecurity #Economy,,,Media appearance,EMM,From the media,,,,,,,,,,,,,,It doesn't require,Economic and health,,Media appearance,,,,,2025-08-12T10:00:00.000Z,,,,,,4.1 Food systems structure,1.3.2.1 Viruses,,,,,,,,,
"Lagocephalus sceleratus, Pufferfish",https://trello.com/c/68cc548360d7789e7ed406e6,68cc548360d7789e7ed406e6,0,,Done (was already on EREN),,Other,A naturally occurring toxic compound,,,,,,,,,,,,,,,,,,,,,It doesn't require,Economic and health,,,,,,,,,,,,,,,,,,,,,,,
"Bluetongue Disease Detected in Kyustendil Region, Animals To Be Treated",https://trello.com/c/68dac129f1a5c889d2ebaae0,68dac129f1a5c889d2ebaae0,0,,,,,Virus,"Bulgaria reported its first bluetongue serotype 8 outbreak in sheep near the Serbian border, prompting movement restrictions and surveillance but no culling, amid similar regional cases.",#Bluetongue #Ruminants #Outbreak #Surveillance #Economy,,,Media appearance,EMM,From the media,,,,,,,,,,,,,,It doesn't require,Economic and health,,Media appearance,,,,,2025-09-16T10:00:00.000Z,,,,,,4.1 Food systems structure,1.3.2.1 Viruses,,,,,,,,,
EU to call for full lifecycle plastics in crucial talks to limit them,https://trello.com/c/68dac15c088beea96190db6d,68dac15c088beea96190db6d,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-16T10:00:00.000Z,,,True,,,,,,,,,,,,,
Armored seeds and biodiversity,https://trello.com/c/68dac18fe54cf3f7633ec68d,68dac18fe54cf3f7633ec68d,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-16T10:00:00.000Z,,,,,,,,,,,,,,,,
They manage to modify the tobacco plant so that it does not have nicotine,https://trello.com/c/68dac1bd518ac2db06ea71b5,68dac1bd518ac2db06ea71b5,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-16T10:00:00.000Z,,,,,,,,,,,,,,,,
Found in Austria – this insect is really dangerous,https://trello.com/c/68dac1f932807203bab5660f,68dac1f932807203bab5660f,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-16T10:00:00.000Z,,,,,,,,,,,,,,,,
Hidden hunger,https://trello.com/c/68dac22eb220d1e20fa33c77,68dac22eb220d1e20fa33c77,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-23T10:00:00.000Z,,,,,,,,,,,,,,,,
"Pollution, overuse and climate change threaten Europe's water resilience.",https://trello.com/c/68dac266876d4d3d38d4f5b8,68dac266876d4d3d38d4f5b8,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-23T10:00:00.000Z,,,,,,,,,,,,,,,,
Pet Cuddling Risks: How Close Contact Can Be Lethal for Pet Owners (Pet Owners Warned: Common skin Treatments Pose Hidden Dangers To Beloved Animals),https://trello.com/c/68dac2c4ec28ddb0350b7f76,68dac2c4ec28ddb0350b7f76,0,,,,,Other,"Hormone-based drugs and hair treatments like minoxidil can fatally poison pets through contact or licking, prompting safety warnings for pet owners and families.",#PetPoisoning #Minoxidil #Hormones #Toxicity #Exposure,,,Media appearance,EMM,From the media,Media appearance,,,,,,,,,,,,,It doesn't require,Healthcare,,Media appearance,,,,,2025-09-23T10:00:00.000Z,,,,,,,4 Other hazards,,,,,,,,,
Risks related to coffee consumption/coffee beans,https://trello.com/c/68dac34003aad9c4d75c4a24,68dac34003aad9c4d75c4a24,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-23T10:00:00.000Z,,,,,,,,,,,,,,,,
"Fastac, a pesticide banned in Europe, continues to be manufactured near Lyon",https://trello.com/c/68dac3961ece27aa6d25beb0,68dac3961ece27aa6d25beb0,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-23T10:00:00.000Z,,,,,,,,,,,,,,,,
Experts warn of Salmonella Dublin: Cattle-born superbug that is spreading to humans,https://trello.com/c/68dac3c359ccc088ad9abecd,68dac3c359ccc088ad9abecd,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-09-23T10:00:00.000Z,,,,,,,,,,,,,,,,
The potential spread of Shewanella spp.,https://trello.com/c/68f624e5e17351b14d3b338d,68f624e5e17351b14d3b338d,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-10-21T10:00:00.000Z,,,,,,,,,,,,,,,,
Foodborne diseases caused by Klebsiella spp.,https://trello.com/c/68f625ad4bd35df77c4126b7,68f625ad4bd35df77c4126b7,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2025-10-21T10:00:00.000Z,,,,,,,,,,,,,,,,
